ID_ESCOLA,NO_ENTIDADE,DT_ANO_LETIVO_INICIO,CO_MUNICIPIO,TP_LOCALIZACAO,TP_DEPENDENCIA,IN_LOCAL_FUNC_UNID_PRISIONAL,IN_LOCAL_FUNC_PRISIONAL_SOCIO,IN_AGUA_FILTRADA,IN_AGUA_INEXISTENTE,IN_ENERGIA_INEXISTENTE,IN_ESGOTO_INEXISTENTE,IN_LIXO_RECICLA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_BIBLIOTECA_SALA_LEITURA,IN_BANHEIRO_DENTRO_PREDIO,IN_BANHEIRO_CHUVEIRO,IN_AREA_VERDE,IN_COMPUTADOR,IN_INTERNET,IN_ALIMENTACAO,ID_MUNICIPIO,ID_AREA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,PROFICIENCIA_LP,PROFICIENCIA_LP_SAEB,PROFICIENCIA_MT,PROFICIENCIA_MT_SAEB
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,827326,1,12,23381560,-1.59671,162.016867,-0.327952,231.63438
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,827326,1,12,23381561,0.027352,251.491904,-1.054416,191.030616
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,827326,1,12,23381562,-0.47504,223.813439,-1.008348,193.605464
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,827326,1,12,23381563,1.372056,325.576169,0.521823,279.130283
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,827326,1,12,23381564,-1.158232,186.174094,1.751462,347.857669
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,827326,1,12,23381565,,,,
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,827326,1,12,23381566,0.15204,258.361385,-0.781455,206.287042
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,827326,1,12,23381567,-0.2235,237.671623,-0.806088,204.910246
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,827326,1,12,23381568,2.116738,366.603205,3.431675,441.768685
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,827326,1,12,23381569,0.641899,285.349364,-0.548338,219.316494
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,827326,1,12,23381570,1.188959,315.48874,-0.286569,233.947372
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,827326,1,12,23381571,0.111313,256.117597,0.042961,252.365571
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,827326,1,12,23381572,,,,
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,827326,1,12,23381573,0.399867,272.015008,0.132907,257.392863
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,827326,1,12,23381574,0.84136,296.338342,-0.163763,240.811286
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381504,0.578753,281.870439,0.467802,276.110924
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381505,1.381048,326.071569,0.578837,282.316928
